步骤,处理规则,处理前记录数,处理后记录数,影响记录数
删除完全重复行,完全重复的记录不增加信息，予以删除,5630,5630,0
缺失值填补,Tenure 使用中位数 9.00 填补,5630,5630,264
缺失值填补,WarehouseToHome 使用中位数 14.00 填补,5630,5630,251
缺失值填补,HourSpendOnApp 使用中位数 3.00 填补,5630,5630,255
缺失值填补,OrderAmountHikeFromlastYear 使用中位数 15.00 填补,5630,5630,265
缺失值填补,CouponUsed 使用中位数 1.00 填补,5630,5630,256
缺失值填补,OrderCount 使用中位数 2.00 填补,5630,5630,258
缺失值填补,DaySinceLastOrder 使用中位数 3.00 填补,5630,5630,307
类别标准化,PreferredLoginDevice: Phone → Mobile Phone,5630,5630,1231
类别标准化,PreferredPaymentMode: COD → Cash on Delivery,5630,5630,365
类别标准化,PreferredPaymentMode: CC → Credit Card,5630,5630,273
类别标准化,PreferedOrderCat: Mobile → Mobile Phone,5630,5630,809
数据类型转换,将 Churn 和 Complain 转为 int 类型,5630,5630,5630
