TenureGroup,CityTier,用户数,流失人数,流失率,平均订单数,平均返现,样本提示
0-12 months,2,152,48,31.57894736842105,2.0,149.95026315789474,可观察
0-12 months,3,1205,326,27.053941908713693,2.7435684647302905,169.13087136929462,可观察
0-12 months,1,2377,479,20.151451409339504,2.5700462768195202,157.83546066470342,可观察
13-24 months,3,408,42,10.294117647058822,3.8848039215686274,206.61723039215687,可观察
13-24 months,1,989,53,5.358948432760364,3.6491405460060666,203.71291203235592,可观察
13-24 months,2,70,0,0.0,3.442857142857143,211.99800000000002,可观察
25-36 months,1,298,0,0.0,3.1308724832214767,220.181677852349,可观察
25-36 months,2,20,0,0.0,3.9,267.621,小样本
25-36 months,3,107,0,0.0,4.691588785046729,219.73654205607477,可观察
37+ months,1,2,0,0.0,2.5,161.5,小样本
37+ months,3,2,0,0.0,1.5,291.25,小样本
